title
"[속보] 이시바 일본 총리, 30일부터 1박2일간 방한‥부산서 한일 정상회..."
'검찰청 폐지' 필리버스터2일째...최장기록 경신도
"부산시, 바다미술제 11월2일까지…17개국 작가 38명 참여"
"계양구, ‘제31회 구민의 날’ 내달2일기념행사 풍성"
"용산구, 내달2일노인의날 기념식…시니어모델 패션쇼도 열려"
"합천군, 추석맞이 직거래장터 운영…내달 1~2일"
"전주시, 11월 1~2일'전주월드인라인 마라톤대회' 연다"
양양 “지방세 환급…다음 달2일까지”
"은평구, 내달2일까지 사회적경제허브센터 입주기업 모집"
'어쩔수가없다'2일째 1위→누적 46만…첫 주말 흥행 성적 기대감
"보훈부, 다음달2일까지 ‘2025년 제대군인 주간’ 개최"
"증평군, 추석 맞아 10월2일까지 군부대 위문 활동"
2027년 세계제주인대회 사전 행사 10월 1∼2일개최
"대전 서구, 아트페스티벌과 함께하는 1박2일공정관광"
"효린, 2년만 韓 단독 콘서트..11월 1일~2일'KEY' 개최"
"전통시장 등 찾아가 무료 세무상담… 행안부, 내달2일까지 ‘마을세무..."
'고인돌과 갯벌의 가치'…고창 세계유산축전 내달2일개막
"LGU+, 1300여 중소 협력사 납품대급 350억 현금 조기지급"
"이 대통령, '수교 30주년' 이집트 특사에 與 박범계 파견"
"'화끈한 데뷔전' 고석현, UFC 2승 도전…11월2일출격"
"한동훈, 특검 공판 전 증인신문 불출석…내달2일재지정"
‘돌싱글즈7’ 성우♥지우 동거2일차
"국힘, 대전서 현장최고위…1박2일대전 방문 일정 마무리"
"경찰, '검사와 사적관계' 발언 장시호 혐의없음 불송치"
"李 대통령, 30일 부산서 이시바 日 총리와 정상회담"
"[여담야담] '정부조직법' 필리버스터2일째…""호남선 불 안 나나"" 발언 ..."
SM vs '엑소' 첸백시 1차 조정 불발…내달2일2차 조정
"강남구, 10월2일개청 50주년 기념 ‘환경 토크 콘서트’ 개최"
"구로구, 10월2일부터 10일까지 ‘2025년 추석 종합대책’ 추진"
"영월군, 11월 1~2일도시민 귀농귀촌 현장 교육"
"'대북전단 살포' 최성룡 납북자 대표, 재난안전법 위반 송치"
"대통령실 참모진 재산 첫 공개…김현지, 대장동 아파트 등 11억 원"
"[여주소식]추석맞이 직거래장터, 10월1~2일개장 등"
"BAE173, 10월2일‘단 하루 하루만 내 여자친구가 돼줄래’ 선공개"
"경기도자박물관 '선사의 법칙, 1박2일' 캠프 가족 모집"
"김천시, 추석맞이 전통시장 장보기 행사...내달2일까지"
"캠코, 5302억 규모 압류재산 공매...10월2일개찰"
"한림성심대, 1박2일간 그리는 나만의 창업 로드맵…창업 역량 강화 캠..."
"야놀자, 여행 특화 버티컬 AI 서비스 공개한다"
"꿈나래교육원, 1박2일감성캠핑 운영"
"고석현-이창호, 나란히 UFC 2승 도전...11월2일동반 출격"
"""보길도에서 총회까지, 1박2일걸렸습니다"""
[재산공개] 강위원 전남도 경제부지사 1억4천만원 신고
"컴투스홀딩스, '가이더스 제로' 엑스박스 버전 출시"
대전 월드컵경기장 주차요금 대폭 완화
"현대자동차, 오는 10월 사업부문 전반 신입·경력사원 채용… 내달2일..."
"SPC 파리바게뜨, '케이팝 데몬 헌터스' 협업 제품 추가 출시"
"렌딧 “온투업 영업 10월2일종료, 신사업 추진“"
스타트업 투자 박람회 '경기 스타트업 서밋' 내달 1~2일개최
"""아이디어가 현실로"" 선문대, 1박2일사업계획서 창업캠프"
"LG유플러스, 추석 맞아 중소 협력사 납품대금 조기 지급"
"BYD코리아, 추석 맞이 무상점검 서비스 캠페인 실시"
내년 1월2일부터 용인시 '양지면'→'양지읍' 승격
'제주 예비사회적기업 찾아요' 10월 1~2일지정 설명회
"이병헌X손예진 '어쩔수가없다',2일연속 박스오피스 1위…2위 '극장판 ..."
경북도의회 가재위·교육위 등 조례·동의안 심사…10월2일본회의 의결
"관악구, 내년 3월2일까지 야외 조각전 개최"
인천 짜장면 축제...11월1~2일인천역 일대
"용인시 양지면, 내년 1월2일읍으로 승격 확정"
대통령실 참모 재산 평균 22억 원…3분의 1 강남3구 부동산 보유
어르신·학생들과 떠나는 1박2일수학여행 추억 공유~
"KBO리그 최종 순위, 10월3일에 결정된다···잔여 7경기 편성"
"'개방형 실험실 중간 성과 공유'…고대구로병원, 워크숍"
"美, 로봇·산업기계 안보영향 조사 착수…관세 부과 가능성"
"충남교육청, 내달2일까지 도내 학교급식지원센터 합동점검"
"수원시, 전국 첫 '웹 기반 상하수도 요금관리시스템' 완성"
"HD현대미포, '기본급 13만5000원 인상' 등 올해 임금교섭 타결"
"오스코텍, 분자세포생물학회 참가…""항내성 치료법 발표"""
"천안흥타령춤축제2일째 공연과 경연, 체험 이어져"
또 덴마크 하늘길 막은 ‘정체불명 드론’
금융 흐름 한눈에…케이뱅크 '내돈이야기' 서비스 선봬
"대통령실 참모, 평균 재산 22억…김현지 비서관 '대장동 아파트'·김상호..."
"화순군, 광덕문화광장 '추석 직거래장터' 10월 1일·2일"
"국가철도공단, 하반기 195명 신규 채용 실시...10월2일부터 접수"
"1박2일놀러오면 최대 10만원 돌려준다, 여기 어디?"
"국힘 박수민, 필리버스터 최장 '17시간 12분' 경신...세계 기록은 아직"
"부산고용청 ""추석 전 체불임금 청산 총력"""
"함양군, 임산부의 날 맞아 배려 문화 확산 캠페인"
대구 공영주차장 95곳 추석 연휴 무료 개방
"한국도자재단, 가족 체험 캠프 '선사의 법칙, 1박2일' 참가자 모집"
"LG유플러스, 추석 맞아 협력사 납품대금 350억원 조기 지급"
"산림청, 내달2일까지 추석 성수품 수급 안정대책반 운영"
"벤츠코리아, 449마력 'AMG CLE 53 4MATIC+ 쿠페' 출시"
"정부 “이시바 日 총리, 9월 말 방한 조율 중”…부산서 정상회담 가능..."
"카카오표 AI 서비스, 대중들과 가까이 만난다"
제천에서 열린 '우리 사랑 통합캠프'… 1박2일간 뜻깊은 여정
윤석열 대통령실 비서관 재산 공개‥149억 원 김태효 3위
"UFC 웰터급 고석현·밴텀급 이창호, 11월2일동반 출전"
역대 가장 늦은 폭염주의보… 지난해 이어 또 경신
제2회 시흥뮤직페스티벌 10월 1~2일개최…참가팀 모집
"LG유플러스·소방청, ‘순직 소방관 추모 마라톤’ 11월2일개최"
"제주경찰, 추석 맞아 종합 치안활동…""취약지 형사팀 배치"""
"‘더본코리아’ 빠진 홍성글로벌바비큐페스티벌, 흥행 이어간다"
"어라운드X 글로벌 로드쇼2일차, 'Crafting the Future'… ""실리콘밸리가..."
도암댐 방류2일차
장흥 하늘빛수목정원 ‘금·은목서 향기 페스티벌’2일개막
"""항공 혁신하는 AI 방향성은""…우주청, 업계와 머리맞대"
"강남구, 개청 50주년 맞아 환경 토크 콘서트 10월2일개최"
이시바 日총리 30일~10월1일 방한…부산서 李대통령과 정상회담
바다미술제 개막…37일간 17개국 23개팀 작품 46점 소개
