title
'검찰청 폐지' 필리버스터2일째...최장기록 경신도
"부산시, 바다미술제 11월2일까지…17개국 작가 38명 참여"
"계양구, ‘제31회 구민의 날’ 내달2일기념행사 풍성"
"용산구, 내달2일노인의날 기념식…시니어모델 패션쇼도 열려"
"합천군, 추석맞이 직거래장터 운영…내달 1~2일"
양양 “지방세 환급…다음 달2일까지”
"은평구, 내달2일까지 사회적경제허브센터 입주기업 모집"
'어쩔수가없다'2일째 1위→누적 46만…첫 주말 흥행 성적 기대감
"보훈부, 다음달2일까지 ‘2025년 제대군인 주간’ 개최"
"증평군, 추석 맞아 10월2일까지 군부대 위문 활동"
"효린, 2년만 韓 단독 콘서트..11월 1일~2일'KEY' 개최"
'고인돌과 갯벌의 가치'…고창 세계유산축전 내달2일개막
"LGU+, 1300여 중소 협력사 납품대급 350억 현금 조기지급"
"이 대통령, '수교 30주년' 이집트 특사에 與 박범계 파견"
"경찰, '검사와 사적관계' 발언 장시호 혐의없음 불송치"
"'화끈한 데뷔전' 고석현, UFC 2승 도전…11월2일출격"
"한동훈, 특검 공판 전 증인신문 불출석…내달2일재지정"
‘돌싱글즈7’ 성우♥지우 동거2일차
"[여담야담] '정부조직법' 필리버스터2일째…""호남선 불 안 나나"" 발언 ..."
SM vs '엑소' 첸백시 1차 조정 불발…내달2일2차 조정
"강남구, 10월2일개청 50주년 기념 ‘환경 토크 콘서트’ 개최"
"구로구, 10월2일부터 10일까지 ‘2025년 추석 종합대책’ 추진"
"영월군, 11월 1~2일도시민 귀농귀촌 현장 교육"
[연합뉴스 이 시각 헤드라인] - 18:00
"'대북전단 살포' 최성룡 납북자 대표, 재난안전법 위반 송치"
"대통령실 참모진 재산 첫 공개…김현지, 대장동 아파트 등 11억 원"
"[여주소식]추석맞이 직거래장터, 10월1~2일개장 등"
"BAE173, 10월2일‘단 하루 하루만 내 여자친구가 돼줄래’ 선공개"
"야놀자, 여행 특화 버티컬 AI 서비스 공개한다"
[재산공개] 강위원 전남도 경제부지사 1억4천만원 신고
"컴투스홀딩스, '가이더스 제로' 엑스박스 버전 출시"
대전 월드컵경기장 주차요금 대폭 완화
"SPC 파리바게뜨, '케이팝 데몬 헌터스' 협업 제품 추가 출시"
"쟁점 법안 필리버스터2일차...국회, 정부조직법 개정안 처리 예정"
"캠코, 5302억 규모 압류재산 공매...10월2일개찰"
"렌딧 “온투업 영업 10월2일종료, 신사업 추진“"
스타트업 투자 박람회 '경기 스타트업 서밋' 내달 1~2일개최
"LG유플러스, 추석 맞아 중소 협력사 납품대금 조기 지급"
"BYD코리아, 추석 맞이 무상점검 서비스 캠페인 실시"
내년 1월2일부터 용인시 '양지면'→'양지읍' 승격
"이병헌X손예진 '어쩔수가없다',2일연속 박스오피스 1위…2위 '극장판 ..."
경북도의회 가재위·교육위 등 조례·동의안 심사…10월2일본회의 의결
"관악구, 내년 3월2일까지 야외 조각전 개최"
대통령실 참모 재산 평균 22억 원…3분의 1 강남3구 부동산 보유
"KBO리그 최종 순위, 10월3일에 결정된다···잔여 7경기 편성"
"'개방형 실험실 중간 성과 공유'…고대구로병원, 워크숍"
"충남교육청, 내달2일까지 도내 학교급식지원센터 합동점검"
"HD현대미포, '기본급 13만5000원 인상' 등 올해 임금교섭 타결"
"美, 로봇·산업기계 안보영향 조사 착수…관세 부과 가능성"
"수원시, 전국 첫 '웹 기반 상하수도 요금관리시스템' 완성"
"오스코텍, 분자세포생물학회 참가…""항내성 치료법 발표"""
대구 공영주차장 95곳 추석 연휴 무료 개방
또 덴마크 하늘길 막은 ‘정체불명 드론’
금융 흐름 한눈에…케이뱅크 '내돈이야기' 서비스 선봬
"화순군, 광덕문화광장 '추석 직거래장터' 10월 1일·2일"
"국힘 박수민, 필리버스터 최장 '17시간 12분' 경신...세계 기록은 아직"
"함양군, 임산부의 날 맞아 배려 문화 확산 캠페인"
"부산고용청 ""추석 전 체불임금 청산 총력"""
"산림청, 내달2일까지 추석 성수품 수급 안정대책반 운영"
"벤츠코리아, 449마력 'AMG CLE 53 4MATIC+ 쿠페' 출시"
"정부 “이시바 日 총리, 9월 말 방한 조율 중”…부산서 정상회담 가능..."
"카카오표 AI 서비스, 대중들과 가까이 만난다"
"UFC 웰터급 고석현·밴텀급 이창호, 11월2일동반 출전"
역대 가장 늦은 폭염주의보… 지난해 이어 또 경신
"LG유플러스·소방청, ‘순직 소방관 추모 마라톤’ 11월2일개최"
제2회 시흥뮤직페스티벌 10월 1~2일개최…참가팀 모집
